E (862) lcd_panel: esp_lcd_panel_swap_xy(50): swap_xy is not supported by this panel
I (878) Backlight: Set brightness to 75
I (878) Application: STATE: starting
I (879) SD_TEST: Initializing SD card via SDMMC...
W (880) ldo: The voltage value 0 is out of the recommended range [500, 2700]
I (888) Es8311AudioCodec: Duplex channels created
I (896) ES8311: Work in Slave mode
I (899) Es8311AudioCodec: Es8311AudioCodec initialized
I (899) AudioCodec: Set input enable to true
I (915) I2S_IF: channel mode 0 bits:16/16 channel:2 mask:1
W (915) i2s_common: dma frame num is adjusted to 256 to align the dma buffer with 64, bufsize = 512
I (918) I2S_IF: STD Mode 1 bits:16/16 channel:2 sample_rate:16000 mask:1
I (925) I2S_IF: channel mode 0 bits:16/16 channel:2 mask:1
W (930) i2s_common: dma frame num is adjusted to 256 to align the dma buffer with 64, bufsize = 512
I (936) SD_TEST: SD card mounted!
Name: SD16G
Type: SDHC
Speed: 400.00 kHz (limit: 400.00 kHz)
Size: luMB
CSD: ver=2, sector_size=512, capacity=61157376 read_bl_len=9
SSR: bus_width=4
I (955) I2S_IF: STD Mode 0 bits:16/16 channel:2 sample_rate:16000 mask:1
I (959) SD_TEST:   System Volume Information
I (1272) SD_TEST:   happy093.jpg
I (1275) SD_TEST:   happy094.jpg
I (1278) SD_TEST:   happy095.jpg
I (1281) SD_TEST:   happy096.jpg
I (1284) SD_TEST:   happy097.jpg
I (1287) SD_TEST:   happy098.jpg
I (1290) SD_TEST:   happy099.jpg
I (1293) SD_TEST:   happy100.jpg
I (1296) SD_TEST:   happy101.jpg
I (1299) SD_TEST:   happy102.jpg
I (1302) SD_TEST:   happy103.jpg
I (1305) SD_TEST:   happy104.jpg
I (1307) SD_TEST:   happy105.jpg
I (1313) transport: Attempt connection with slave: retry[0]
I (1314) SD_TEST:   happy106.jpg
I (1319) SD_TEST:   happy107.jpg
I (1322) SD_TEST:   happy108.jpg
I (1325) SD_TEST:   happy109.jpg
I (1328) SD_TEST:   happy110.jpg
I (1330) SD_TEST:   happy111.jpg
I (1333) SD_TEST:   happy112.jpg
I (1336) SD_TEST:   happy113.jpg
I (1339) SD_TEST:   happy114.jpg
I (1342) SD_TEST:   happy115.jpg
I (1345) SD_TEST:   happy116.jpg
I (1348) SD_TEST:   happy117.jpg
I (1351) SD_TEST:   happy118.jpg
I (1354) SD_TEST:   happy119.jpg
W (1357) H_SDIO_DRV: Reset slave using GPIO[54]
I (1361) os_wrapper_esp: GPIO [54] configured
I (1436) SD_TEST:   background.jpg
I (2885) sdio_wrapper: SDIO master: Slot 1, Data-Lines: 4-bit Freq(KHz)[40000 KHz]
I (2885) sdio_wrapper: GPIOs: CLK[18] CMD[19] D0[14] D1[15] D2[16] D3[17] Slave_Reset[54]
I (2889) sdio_wrapper: Queues: Tx[20] Rx[20] SDIO-Rx-Mode[1]
I (2928) sdio_wrapper: Function 0 Blocksize: 512
I (2928) sdio_wrapper: Function 1 Blocksize: 512
I (3028) H_SDIO_DRV: Card init success, TRANSPORT_RX_ACTIVE
I (3028) transport: set_transport_state: 1
I (3028) transport: Waiting for esp_hosted slave to be ready
I (3033) H_SDIO_DRV: SDIO Host operating in STREAMING MODE
I (3033) H_SDIO_DRV: Starting SDIO process rx task
I (3036) H_SDIO_DRV: Open data path at slave
I (3072) H_SDIO_DRV: Received ESP_PRIV_IF type message
I (3072) transport: Received INIT event from ESP32 peripheral
I (3073) transport: EVENT: 12
I (3074) transport: Identified slave [esp32c6]
I (3078) transport: EVENT: 11
I (3081) transport: capabilities: 0xd
I (3085) transport: Features supported are:
I (3088) transport:      * WLAN
I (3091) transport:        - HCI over SDIO
I (3095) transport:        - BLE only
I (3098) transport: EVENT: 13
W (3100) transport: Version mismatch: Host [2.12.0] > Co-proc [2.3.0] ==> Upgrade co-proc to avoid RPC timeouts
I (3110) transport: ESP board type is : 13

I (3114) transport: Base transport is set-up, TRANSPORT_TX_ACTIVE
I (3120) H_API: Transport active
I (3123) transport: Slave chip Id[12]
I (3127) transport: raw_tp_dir[-], flow_ctrl: low[60] high[80]
I (3132) transport: transport_delayed_init
I (3136) esp_cli: Registering command: crash
I (3140) esp_cli: Registering command: reboot
I (3144) esp_cli: Registering command: mem-dump
I (3148) esp_cli: Registering command: task-dump
I (3153) esp_cli: Registering command: cpu-dump
I (3157) esp_cli: Registering command: heap-trace
I (3161) esp_cli: Registering command: sock-dump
I (3166) esp_cli: Registering command: host-power-save
I (3171) hci_stub_drv: Host BT Support: Disabled
I (3175) H_SDIO_DRV: Received INIT event
I (3178) H_SDIO_DRV: Event type: 0x22
I (3182) H_SDIO_DRV: Write thread started
I (3847) RPC_WRAP: ESP Event: wifi station started
I (3847) rpc_req: Scan start Req

I (3880) RPC_WRAP: ESP Event: wifi station started
I (3884) RPC_WRAP: ESP Event: StaScanDone
I (3893) wifi: Wait for next scan
I (3904) rpc_req: Scan start Req

W (3918) rpc_rsp: Hosted RPC_Resp [0x21e], uid [7], resp code [12294]
I (8937) RPC_WRAP: ESP Event: Station mode: Connected
I (8937) esp_wifi_remote: esp_wifi_internal_reg_rxcb: sta: 0x48146922
--- 0x48146922: wifi_sta_receive at E:/Passport/esp32/v5.5.1/esp-idf/components/esp_wifi/src/wifi_netif.c:39
I (9975) wifi: Got IP: 192.168.242.58
I (9975) esp_netif_handlers: sta ip: 192.168.242.58, mask: 255.255.255.0, gw: 192.168.242.69
I (9979) Application: STATE: activating
I (9979) Ota: Current version: 1.8.2
I (10003) Ota: OTA Request Body: {"application":{"version":"1.8.2","elf_sha256":"1234567890abcdef1234567890abcdef1234567890abcdef1234567890abcdef"},"board":{"type":"guition-jc4880p443","name":"guition-jc4880p443","ssid":"royal7","rssi":0},"mac_address":"9c:13:9e:dc:2d:e4","uuid":"e19b1cd3-f7e5-4170-8016-a6a9d5645cd2","chip_model_name":"esp32p4","flash_size":16777216,"psram_size":0,"version":0,"chip_info":{"model":0,"cores":0,"revision":0,"features":0},"partition_table":[{"label":"","type":0,"subtype":0,"address":0,"size":0}]}
I (10214) esp-x509-crt-bundle: Certificate validated
I (10580) Ota: OTA Response: {"server_time":{"timestamp":1784036889228,"timeZone":"Asia/Shanghai","timezone_offset":480},"firmware":{"version":"1.8.2","url":"https://xrobo.qiniuapi.com/v1/ota/INVALID_FIRMWARE_FOR_TEST"},"websocket":{"url":"ws://xrobo-io.qiniuapi.com/v1/ws/","token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJkYXRhIjoiY0dXT0R5d2l2RDhWdGxRcm1ITVVJWnF6SmxlUWl0LVhvT2FWa0dwcVNqMEJzOUw0TlA3T2NBdTRUVTRJVExLSTJsVTRoa2pqZGxabWdvUE00Mnk1SDJrVnVOUkpCRE5wcGhpTFoxaEEifQ.FEwKQgNK0xuM2Xqna6sUuwISkCqGylmwZGFbZ1C8jjA"}}
I (10614) Ota: Websocket url: ws://xrobo-io.qiniuapi.com/v1/ws/
I (10622) Ota: Websocket token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJkYXRhIjoiY0dXT0R5d2l2RDhWdGxRcm1ITVVJWnF6SmxlUWl0LVhvT2FWa0dwcVNqMEJzOUw0TlA3T2NBdTRUVTRJVExLSTJsVTRoa2pqZGxabWdvUE00Mnk1SDJrVnVOUkpCRE5wcGhpTFoxaEEifQ.FEwKQgNK0xuM2Xqna6sUuwISkCqGylmwZGFbZ1C8jjA
I (10643) Ota: Got websocket configuration
I (10647) Ota: Time synchronized: 633
I (10650) Ota: Firmware version in response: 1.8.2
I (10655) Ota: Firmware URL: https://xrobo.qiniuapi.com/v1/ota/INVALID_FIRMWARE_FOR_TEST
I (10663) Ota: Current is the latest version
I (10667) Ota: Running partition: ota_0
I (10673) MCP: Add tool: self.get_device_status
I (10675) MCP: Add tool: self.audio_speaker.set_volume
I (10679) MCP: Add tool: self.screen.set_brightness
I (10684) MCP: Add tool: self.screen.set_theme
I (10688) Application: STATE: idle
I (10692) MODEL_LOADER: The storage free size is 65536 KB
I (10696) MODEL_LOADER: The partition size is 4032 KB
I (10701) MODEL_LOADER: Successfully load srmodels
I (10706) CustomWakeWord: multinet:mn7_cn
Build fst from commands.
Quantized MultiNet7:rnnt_ctc_2.0, name:mn7_cn, (Jun 16 2025 16:18:50)
Quantized MultiNet7 search method: 2, time out:2.0 s
set det threshold to 0.500000
Build fst from commands.
1 active speech commands:
Command 1: kai er xi
I (11577) CustomWakeWord: Custom wake word: kai er xi
W (11578) AFE_CONFIG: wakenet model not found. please load wakenet model...
I (11584) AFE: AFE Version: (1MIC_V250121)
I (11587) AFE: Input PCM Config: total 1 channels(1 microphone, 0 playback), sample rate:16000
I (11596) AFE: AFE Pipeline: [input] -> |VAD(WebRTC)| -> [output]
I (11601) CustomWakeWord: Audio detection task started, feed size: 512 fetch size: 512
W (11609) AFE: afe_disable_wakenet: WakeNet is not initialized!

I (11622) SystemInfo: free sram: 256875 minimal sram: 209903
I (11623) AppImageDisplay: Initializing image display...
I (11645) PPACompositor: PPA BLEND client registered
I (12582) PPACompositor: Background loaded: /sdcard/background.jpg (480x800)
I (12599) AppImageDisplay: Found image: happy003.jpg
I (12599) AppImageDisplay: Found image: happy001.jpg
I (12599) AppImageDisplay: Found image: happy002.jpg
I (12602) AppImageDisplay: Found image: happy120.jpg
I (12607) AppImageDisplay: Found image: happy004.jpg
I (12612) AppImageDisplay: Found image: happy005.jpg
I (12616) AppImageDisplay: Found image: happy006.jpg
I (12625) AppImageDisplay: Found image: happy007.jpg
I (12626) AppImageDisplay: Found image: happy008.jpg
I (12630) AppImageDisplay: Found image: happy009.jpg
I (12638) AppImageDisplay: Found image: happy010.jpg
I (12640) AppImageDisplay: Found image: happy011.jpg
I (12644) AppImageDisplay: Found image: happy012.jpg
I (12654) AppImageDisplay: Found image: happy013.jpg
I (12654) AppImageDisplay: Found image: happy014.jpg
I (12658) AppImageDisplay: Found image: happy015.jpg
I (12663) AppImageDisplay: Found image: happy016.jpg
I (12668) AppImageDisplay: Found image: happy017.jpg
I (12672) AppImageDisplay: Found image: happy018.jpg
I (12677) AppImageDisplay: Found image: happy019.jpg
I (12686) AppImageDisplay: Found image: happy020.jpg
I (12687) AppImageDisplay: Found image: happy021.jpg
I (12691) AppImageDisplay: Found image: happy022.jpg
I (12696) AppImageDisplay: Found image: happy023.jpg
I (12701) AppImageDisplay: Found image: happy024.jpg
I (12705) AppImageDisplay: Found image: happy025.jpg
I (12718) AppImageDisplay: Found image: happy026.jpg
I (12718) AppImageDisplay: Found image: happy027.jpg
I (12719) AppImageDisplay: Found image: happy028.jpg
I (12724) AppImageDisplay: Found image: happy029.jpg
I (12729) AppImageDisplay: Found image: happy030.jpg
I (12733) AppImageDisplay: Found image: happy031.jpg
I (12738) AppImageDisplay: Found image: happy032.jpg
I (12743) AppImageDisplay: Found image: happy033.jpg
I (12751) AppImageDisplay: Found image: happy034.jpg
I (12752) AppImageDisplay: Found image: happy035.jpg
I (12757) AppImageDisplay: Found image: happy036.jpg
I (12762) AppImageDisplay: Found image: happy037.jpg
I (12766) AppImageDisplay: Found image: happy038.jpg
I (12771) AppImageDisplay: Found image: happy039.jpg
I (12776) AppImageDisplay: Found image: happy040.jpg
I (12780) AppImageDisplay: Found image: happy041.jpg
I (12788) AppImageDisplay: Found image: happy042.jpg
I (12790) AppImageDisplay: Found image: happy043.jpg
I (12794) AppImageDisplay: Found image: happy044.jpg
I (12799) AppImageDisplay: Found image: happy045.jpg
I (12804) AppImageDisplay: Found image: happy046.jpg
I (12808) AppImageDisplay: Found image: happy047.jpg
I (12827) AppImageDisplay: Found image: happy048.jpg
I (12827) AppImageDisplay: Found image: happy049.jpg
I (12829) AppImageDisplay: Found image: happy050.jpg
I (12834) AppImageDisplay: Found image: happy051.jpg
I (12839) AppImageDisplay: Found image: happy052.jpg
I (12851) AppImageDisplay: Found image: happy053.jpg
I (12851) AppImageDisplay: Found image: happy054.jpg
I (12853) AppImageDisplay: Found image: happy055.jpg
I (12858) AppImageDisplay: Found image: happy056.jpg
I (12862) AppImageDisplay: Found image: happy057.jpg
I (12870) AppImageDisplay: Found image: happy058.jpg
I (12872) AppImageDisplay: Found image: happy059.jpg
I (12886) AppImageDisplay: Found image: happy060.jpg
I (12887) AppImageDisplay: Found image: happy061.jpg
I (12888) AppImageDisplay: Found image: happy062.jpg
I (12893) AppImageDisplay: Found image: happy063.jpg
I (12898) AppImageDisplay: Found image: happy064.jpg
I (12902) AppImageDisplay: Found image: happy065.jpg
I (12915) AppImageDisplay: Found image: happy066.jpg
I (12916) AppImageDisplay: Found image: happy067.jpg
I (12916) AppImageDisplay: Found image: happy068.jpg
I (12921) AppImageDisplay: Found image: happy069.jpg
I (12926) AppImageDisplay: Found image: happy070.jpg
I (12931) AppImageDisplay: Found image: happy071.jpg
I (12935) AppImageDisplay: Found image: happy072.jpg
I (12945) AppImageDisplay: Found image: happy073.jpg
I (12949) AppImageDisplay: Found image: happy074.jpg
I (12949) AppImageDisplay: Found image: happy075.jpg
I (12954) AppImageDisplay: Found image: happy076.jpg
I (12959) AppImageDisplay: Found image: happy077.jpg
I (12963) AppImageDisplay: Found image: happy078.jpg
I (12968) AppImageDisplay: Found image: happy079.jpg
I (12974) AppImageDisplay: Found image: happy080.jpg
I (12977) AppImageDisplay: Found image: happy081.jpg
I (12982) AppImageDisplay: Found image: happy082.jpg
I (12987) AppImageDisplay: Found image: happy083.jpg
I (12991) AppImageDisplay: Found image: happy084.jpg
I (12996) AppImageDisplay: Found image: happy085.jpg
I (13006) AppImageDisplay: Found image: happy086.jpg
I (13006) AppImageDisplay: Found image: happy087.jpg
I (13010) AppImageDisplay: Found image: happy088.jpg
I (13015) AppImageDisplay: Found image: happy089.jpg
I (13023) AppImageDisplay: Found image: happy090.jpg
I (13024) AppImageDisplay: Found image: happy091.jpg
I (13029) AppImageDisplay: Found image: happy092.jpg
I (13038) AppImageDisplay: Found image: happy093.jpg
I (13038) AppImageDisplay: Found image: happy094.jpg
I (13043) AppImageDisplay: Found image: happy095.jpg
I (13048) AppImageDisplay: Found image: happy096.jpg
I (13052) AppImageDisplay: Found image: happy097.jpg
I (13057) AppImageDisplay: Found image: happy098.jpg
I (13062) AppImageDisplay: Found image: happy099.jpg
I (13070) AppImageDisplay: Found image: happy100.jpg
I (13071) AppImageDisplay: Found image: happy101.jpg
I (13076) AppImageDisplay: Found image: happy102.jpg
I (13081) AppImageDisplay: Found image: happy103.jpg
I (13085) AppImageDisplay: Found image: happy104.jpg
I (13090) AppImageDisplay: Found image: happy105.jpg
I (13100) AppImageDisplay: Found image: happy106.jpg
I (13100) AppImageDisplay: Found image: happy107.jpg
I (13104) AppImageDisplay: Found image: happy108.jpg
I (13109) AppImageDisplay: Found image: happy109.jpg
I (13113) AppImageDisplay: Found image: happy110.jpg
I (13118) AppImageDisplay: Found image: happy111.jpg
I (13123) AppImageDisplay: Found image: happy112.jpg
I (13127) AppImageDisplay: Found image: happy113.jpg
I (13147) AppImageDisplay: Found image: happy114.jpg
I (13147) AppImageDisplay: Found image: happy115.jpg
I (13148) AppImageDisplay: Found image: happy116.jpg
I (13153) AppImageDisplay: Found image: happy117.jpg
I (13158) AppImageDisplay: Found image: happy118.jpg
I (13171) AppImageDisplay: Found image: happy119.jpg
I (13275) AppImageDisplay: Total images found: 120
I (13275) PPACompositor: Preloading 120 frames...
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000208, nb log prob: -inf, normed log prob: -0.000104, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000256, nb log prob: -inf, normed log prob: -0.000128, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[148 315 ], str: _kan_ta, state id: 0, command id: 0, b log prob: -0.001097, nb log prob: -inf, normed log prob: -0.000274, num_blanks:2
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
I (20311) SystemInfo: free sram: 194243 minimal sram: 192011
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000233, nb log prob: -inf, normed log prob: -0.000116, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000132, nb log prob: -inf, normed log prob: -0.000066, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000227, nb log prob: -inf, normed log prob: -0.000113, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
I (28311) AudioCodec: Set output enable to false
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.001436, nb log prob: -inf, normed log prob: -0.000718, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
I (30311) SystemInfo: free sram: 194199 minimal sram: 191807
unfinished id:[], str: , state id: 0, command id: 0, b log prob: 0.000000, nb log prob: -inf, normed log prob: 0.000000, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000299, nb log prob: -inf, normed log prob: -0.000150, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000216, nb log prob: -inf, normed log prob: -0.000108, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000179, nb log prob: -inf, normed log prob: -0.000090, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
I (40311) SystemInfo: free sram: 194191 minimal sram: 191807
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000175, nb log prob: -inf, normed log prob: -0.000088, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000183, nb log prob: -inf, normed log prob: -0.000092, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000229, nb log prob: -inf, normed log prob: -0.000114, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000153, nb log prob: -inf, normed log prob: -0.000076, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
I (50311) SystemInfo: free sram: 194143 minimal sram: 191807
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000299, nb log prob: -inf, normed log prob: -0.000150, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -0.000156, nb log prob: -inf, normed log prob: -0.000078, num_blanks:56
unfinished id:[], str: , state id: 0, command id: 0, b log prob: -inf, nb log prob: -inf, normed log prob: nan, num_blanks:0
